season,date,team1,team2,prob1,prob1_outcome,prob2,prob2_outcome
2022,2022-07-12,Storm,Wings,0.7548323912420126,1,0.24516760875798738,0
2022,2022-07-07,Sparks,Storm,0.5271652543143888,0,0.47283474568561124,1
2022,2022-07-07,Mercury,Liberty,0.6371018578535822,1,0.3628981421464178,0
2022,2022-07-07,Fever,Sky,0.1664811424619931,0,0.8335188575380069,1
2022,2022-07-06,Aces,Liberty,0.8056147381895141,0,0.19438526181048588,1
2022,2022-07-06,Dream,Mystics,0.5134454170457871,0,0.48655458295421294,1
2022,2022-07-06,Lynx,Sky,0.39566398011863657,1,0.6043360198813634,0
2022,2022-07-05,Wings,Sun,0.36981677146332587,1,0.6301832285366742,0
2022,2022-07-05,Fever,Storm,0.2986168354092058,0,0.7013831645907942,1
2022,2022-07-04,Sparks,Mercury,0.6098157289970425,1,0.3901842710029575,0
2022,2022-07-03,Lynx,Aces,0.36504979596566534,1,0.6349502040343347,0
2022,2022-07-03,Sparks,Liberty,0.6531214603790098,1,0.34687853962099024,0
2022,2022-07-03,Dream,Storm,0.45047981692695666,1,0.5495201830730434,0
2022,2022-07-03,Sun,Mystics,0.7199517724687232,1,0.2800482275312768,0
2022,2022-07-02,Sky,Mercury,0.8056374672058231,1,0.19436253279417692,0
2022,2022-07-01,Storm,Fever,0.8632737502651776,1,0.1367262497348224,0
2022,2022-07-01,Wings,Sparks,0.6302059387225265,0,0.3697940612774735,1
2022,2022-07-01,Lynx,Aces,0.3862627252782245,0,0.6137372747217755,1
2022,2022-06-30,Liberty,Dream,0.6758287055024266,0,0.3241712944975734,1
2022,2022-06-29,Mercury,Fever,0.8023622369194492,1,0.1976377630805508,0
2022,2022-06-29,Storm,Aces,0.4468128896272108,1,0.5531871103727892,0
2022,2022-06-29,Sky,Sun,0.6413565639947952,1,0.35864343600520476,0
2022,2022-06-28,Lynx,Wings,0.5526217111604145,1,0.4473782888395855,0
2022,2022-06-28,Mystics,Dream,0.7356830869296916,1,0.26431691307030836,0
2022,2022-06-27,Sparks,Aces,0.3563962047531231,0,0.6436037952468769,1
2022,2022-06-27,Mercury,Fever,0.7917027397520425,1,0.20829726024795747,0
2022,2022-06-26,Sky,Lynx,0.8296054305514485,1,0.17039456944855147,0
2022,2022-06-26,Dream,Sun,0.36050742383420326,0,0.6394925761657968,1
2022,2022-06-25,Aces,Mystics,0.7807328459189733,0,0.2192671540810267,1
2022,2022-06-25,Storm,Sparks,0.7582050666751319,0,0.24179493332486812,1
2022,2022-06-25,Wings,Mercury,0.6969997300906459,0,0.30300026990935414,1
2022,2022-06-24,Dream,Liberty,0.6368049488552795,0,0.3631950511447205,1
2022,2022-06-23,Sparks,Sky,0.369616851763625,0,0.630383148236375,1
2022,2022-06-23,Storm,Mystics,0.6383191330703009,1,0.36168086692969914,0
2022,2022-06-23,Wings,Fever,0.8129208057138614,1,0.18707919428613862,0
2022,2022-06-23,Lynx,Mercury,0.575332421588412,1,0.424667578411588,0
2022,2022-06-22,Sun,Liberty,0.8443103993697737,0,0.1556896006302263,1
2022,2022-06-21,Sparks,Mystics,0.49409249367243174,1,0.5059075063275682,0
2022,2022-06-21,Aces,Sky,0.7030308238352195,0,0.29696917616478047,1
2022,2022-06-21,Mercury,Lynx,0.7200673944245869,0,0.2799326055754131,1
2022,2022-06-21,Dream,Wings,0.5190209753477247,1,0.48097902465227527,0
2022,2022-06-19,Aces,Lynx,0.8793597628967671,1,0.1206402371032329,0
2022,2022-06-19,Wings,Sparks,0.680665087699629,1,0.31933491230037103,0
2022,2022-06-19,Fever,Sky,0.220101965642819,1,0.779898034357181,0
2022,2022-06-19,Mystics,Sun,0.42284949511040937,1,0.5771505048895906,0
2022,2022-06-19,Liberty,Storm,0.47623879128267027,0,0.5237612087173298,1
2022,2022-06-17,Wings,Mercury,0.614703713976347,1,0.38529628602365296,0
2022,2022-06-17,Sky,Dream,0.8010196586590703,1,0.19898034134092968,0
2022,2022-06-17,Sun,Storm,0.7447263290907828,1,0.25527367090921715,0
2022,2022-06-16,Liberty,Mystics,0.443180848087942,1,0.556819151912058,0
2022,2022-06-15,Sun,Dream,0.8175068490305722,1,0.18249315096942775,0
2022,2022-06-15,Fever,Mercury,0.39335726068454807,0,0.6066427393154519,1
2022,2022-06-15,Wings,Aces,0.39393734777276845,0,0.6060626522272315,1
2022,2022-06-14,Lynx,Storm,0.4472340364766247,0,0.5527659635233753,1
2022,2022-06-14,Mystics,Mercury,0.6403938862583244,1,0.3596061137416756,0
2022,2022-06-12,Lynx,Fever,0.7548417182702993,0,0.24515828172970067,1
2022,2022-06-12,Mystics,Mercury,0.6949377181369661,0,0.30506228186303386,1
2022,2022-06-12,Wings,Storm,0.6189361425769737,0,0.3810638574230263,1
2022,2022-06-12,Liberty,Sky,0.34602955135521357,0,0.6539704486447864,1
2022,2022-06-11,Sparks,Aces,0.3579861440999885,0,0.6420138559000115,1
2022,2022-06-10,Mercury,Dream,0.629461464290506,1,0.370538535709494,0
2022,2022-06-10,Wings,Storm,0.640074333111445,0,0.359925666888555,1
2022,2022-06-10,Lynx,Mystics,0.5160228643648106,0,0.4839771356351894,1
2022,2022-06-10,Sun,Sky,0.6853906066336758,0,0.3146093933663242,1
2022,2022-06-10,Fever,Liberty,0.5192997620374735,0,0.4807002379625265,1
2022,2022-06-08,Mystics,Sky,0.48590046204325255,1,0.5140995379567475,0
2022,2022-06-08,Sun,Fever,0.9048702340178989,1,0.0951297659821011,0
2022,2022-06-07,Storm,Dream,0.6494882931766148,1,0.35051170682338517,0
2022,2022-06-07,Liberty,Lynx,0.47331855485346885,1,0.5266814451465311,0
2022,2022-06-05,Sky,Mystics,0.7102508749062905,1,0.28974912509370954,0
2022,2022-06-05,Aces,Wings,0.7500733049127353,1,0.24992669508726473,0
2022,2022-06-05,Mercury,Sparks,0.5951383401645935,1,0.40486165983540645,0
2022,2022-06-05,Storm,Sun,0.42983340404461345,0,0.5701665959553865,1
2022,2022-06-05,Dream,Fever,0.764509258028669,1,0.23549074197133102,0
2022,2022-06-05,Liberty,Lynx,0.5078775199381526,0,0.49212248006184744,1
2022,2022-06-03,Mercury,Sun,0.38598225139285497,0,0.614017748607145,1
2022,2022-06-03,Storm,Wings,0.658335554619177,0,0.34166444538082297,1
2022,2022-06-03,Dream,Sky,0.4624744785301494,0,0.5375255214698507,1
2022,2022-06-03,Mystics,Liberty,0.8059309142647969,0,0.1940690857352031,1
2022,2022-06-02,Aces,Sun,0.6780179298962531,0,0.3219820701037469,1
2022,2022-06-01,Dream,Lynx,0.6084614483648845,1,0.39153855163511553,0
2022,2022-06-01,Liberty,Fever,0.6184282902634676,1,0.3815717097365324,0
2022,2022-05-31,Sparks,Wings,0.5592357322835815,1,0.4407642677164185,0
2022,2022-05-31,Aces,Sun,0.65764357085276,1,0.34235642914723996,0
2022,2022-05-31,Fever,Mystics,0.38717212799886047,0,0.6128278720011395,1
2022,2022-05-31,Sky,Mercury,0.7450297828003006,1,0.25497021719969937,0
2022,2022-05-29,Lynx,Sparks,0.6387675730780533,0,0.3612324269219467,1
2022,2022-05-29,Storm,Liberty,0.7986193552524753,1,0.2013806447475247,0
2022,2022-05-29,Dream,Mercury,0.5316586248453127,1,0.4683413751546873,0
2022,2022-05-28,Sun,Mystics,0.7190596247126269,1,0.28094037528737315,0
2022,2022-05-28,Sky,Aces,0.545807865626023,0,0.454192134373977,1
2022,2022-05-27,Storm,Liberty,0.7901490385442702,1,0.2098509614557298,0
2022,2022-05-27,Fever,Sparks,0.4441585597319836,1,0.5558414402680164,0
2022,2022-05-26,Sun,Wings,0.7058806653714044,1,0.29411933462859563,0
2022,2022-05-25,Sparks,Mercury,0.5516923941691654,1,0.4483076058308346,0
2022,2022-05-24,Sky,Fever,0.8595376791985874,1,0.14046232080141263,0
2022,2022-05-24,Lynx,Liberty,0.7361547781682994,1,0.26384522183170056,0
2022,2022-05-24,Sun,Wings,0.7574672469010805,0,0.24253275309891953,1
2022,2022-05-24,Mystics,Dream,0.6969958832771532,1,0.3030041167228468,0
2022,2022-05-23,Aces,Sparks,0.7963260350386479,1,0.20367396496135215,0
2022,2022-05-22,Mystics,Sky,0.556406794785288,0,0.443593205214712,1
2022,2022-05-22,Fever,Sun,0.284577286322797,0,0.715422713677203,1
2022,2022-05-21,Wings,Lynx,0.6114960747462682,1,0.3885039252537318,0
2022,2022-05-21,Aces,Mercury,0.7404392351181587,1,0.2595607648818413,0
2022,2022-05-20,Storm,Sparks,0.6646211040696564,1,0.33537889593034365,0
2022,2022-05-20,Dream,Mystics,0.529999906541604,0,0.470000093458396,1
2022,2022-05-20,Sun,Fever,0.8590665911023364,1,0.1409334088976636,0
2022,2022-05-19,Aces,Lynx,0.7617047839837181,1,0.2382952160162819,0
2022,2022-05-19,Mercury,Wings,0.7119316967554812,0,0.2880683032445188,1
2022,2022-05-18,Storm,Sky,0.510792040200815,1,0.48920795979918497,0
2022,2022-05-17,Sparks,Lynx,0.6206051747679637,0,0.37939482523203627,1
2022,2022-05-17,Aces,Mercury,0.6857037211611319,1,0.3142962788388681,0
2022,2022-05-17,Wings,Mystics,0.6013932174278154,0,0.3986067825721846,1
2022,2022-05-17,Liberty,Sun,0.34358872537206897,0,0.656411274627931,1
2022,2022-05-17,Fever,Dream,0.563017849320034,0,0.43698215067996604,1
2022,2022-05-15,Fever,Dream,0.6016936927241032,0,0.3983063072758968,1
2022,2022-05-15,Liberty,Wings,0.5226719001694321,0,0.4773280998305679,1
2022,2022-05-14,Lynx,Sky,0.49837412470588854,0,0.5016258752941114,1
2022,2022-05-14,Sun,Sparks,0.711974050657694,1,0.28802594934230596,0
2022,2022-05-14,Storm,Mercury,0.5899829552992808,0,0.4100170447007192,1
2022,2022-05-13,Liberty,Fever,0.6498221494592353,0,0.35017785054076467,1
2022,2022-05-13,Dream,Aces,0.4066588468052986,0,0.5933411531947014,1
2022,2022-05-13,Mystics,Wings,0.6960444253453099,0,0.30395557465469014,1
2022,2022-05-11,Mercury,Storm,0.5863274010440777,1,0.41367259895592234,0
2022,2022-05-11,Sky,Liberty,0.760661210345463,1,0.23933878965453703,0
2022,2022-05-11,Dream,Sparks,0.5126675924642982,1,0.48733240753570184,0
2022,2022-05-10,Mystics,Aces,0.46202551294915295,1,0.537974487050847,0
2022,2022-05-10,Fever,Lynx,0.44401690283621204,1,0.555983097163788,0
2022,2022-05-08,Aces,Storm,0.6758267908056274,1,0.32417320919437265,0
2022,2022-05-08,Lynx,Mystics,0.6855779197630514,0,0.3144220802369486,1
2022,2022-05-08,Fever,Sparks,0.48183223521027174,0,0.5181677647897283,1
2022,2022-05-07,Wings,Dream,0.6860235897961601,0,0.31397641020383993,1
2022,2022-05-07,Liberty,Sun,0.3935576012078953,1,0.6064423987921047,0
2022,2022-05-06,Mercury,Aces,0.5793616019580646,0,0.42063839804193537,1
2022,2022-05-06,Storm,Lynx,0.5844269908343771,1,0.4155730091656229,0
2022,2022-05-06,Sky,Sparks,0.748313144319154,0,0.25168685568084603,1
2022,2022-05-06,Mystics,Fever,0.6841869628431014,1,0.31581303715689857,0
2021,2021-10-17,Sky,Mercury,0.7296366436068596,1,0.27036335639314035,0
2021,2021-10-15,Sky,Mercury,0.6647395994522671,1,0.3352604005477329,0
2021,2021-10-13,Mercury,Sky,0.5879400849420163,1,0.4120599150579837,0
2021,2021-10-10,Mercury,Sky,0.6787519324593944,0,0.32124806754060564,1
2021,2021-10-08,Aces,Mercury,0.6828632125352933,0,0.31713678746470675,1
2021,2021-10-06,Mercury,Aces,0.7014235146790905,0,0.2985764853209095,1
